step,avg_score
100,0.51
200,0.6
300,0.36
400,0.44
500,0.81
600,0.72
700,0.39
800,0.43
900,0.51
1000,0.19
1100,0.45
1200,0.62
1300,0.58
1400,0.74
1500,0.44
1600,0.65
1700,0.45
1800,0.59
1900,0.75
2000,0.36
2100,0.69
2200,0.51
2300,0.66
2400,0.34
2500,0.29
2600,0.54
2700,0.45
2800,0.61
2900,0.53
3000,0.73
3100,0.62
3200,0.66
3300,0.63
3400,0.58
3500,0.67
3600,0.64
3700,0.69
3800,0.77
3900,0.43
4000,0.64
4100,0.65
4200,0.79
4300,0.64
4400,0.45
4500,0.52
4600,0.69
4700,0.72
4800,0.71
4900,0.64
5000,0.62
5100,0.57
5200,0.58
5300,0.63
5400,0.73
5500,0.74
5600,0.68
5700,0.33
5800,0.74
5900,0.64
6000,0.63
6100,0.52
6200,0.59
6300,0.76
6400,0.72
6500,0.58
6600,0.75
6700,0.71
6800,0.57
6900,0.59
7000,0.49
7100,0.84
7200,0.55
7300,0.67
7400,0.75
7500,0.61
7600,0.75
7700,0.74
7800,0.81
7900,0.76
8000,0.52
8100,0.69
8200,0.56
8300,0.51
8400,0.81
8500,0.72
8600,0.8
8700,0.63
8800,0.81
8900,0.72
9000,0.59
9100,0.77
9200,0.67
9300,0.69
9400,0.61
9500,0.74
9600,0.69
9700,0.65
9800,0.66
9900,0.86
10000,0.8
10100,0.7
10200,0.68
10300,0.72
10400,0.73
10500,0.72
10600,0.46
10700,0.72
10800,0.78
10900,0.75
11000,0.62
11100,0.57
11200,0.83
11300,0.69
11400,0.8
11500,0.8
11600,0.62
11700,0.71
11800,0.75
11900,0.81
12000,0.5
12100,0.63
12200,0.86
12300,0.76
12400,0.65
12500,0.69
12600,0.7
12700,0.81
12800,0.73
12900,0.7
13000,0.65
13100,0.72
13200,0.78
13300,0.79
13400,0.74
13500,0.82
13600,0.69
13700,0.61
13800,0.72
13900,0.7
14000,0.66
14100,0.76
14200,0.64
14300,0.67
14400,0.77
14500,0.63
14600,0.81
14700,0.77
14800,0.79
14900,0.8
15000,0.68
15100,0.86
15200,0.79
15300,0.77
15400,0.81
15500,0.7
15600,0.88
15700,0.76
15800,0.74
15900,0.77
16000,0.73
16100,0.8
16200,0.72
16300,0.69
16400,0.72
16500,0.74
16600,0.69
16700,0.85
16800,0.81
16900,0.83
17000,0.79
17100,0.73
17200,0.85
17300,0.63
17400,0.76
17500,0.8
17600,0.84
17700,0.92
17800,0.78
17900,0.66
18000,0.71
18100,0.77
18200,0.69
18300,0.75
18400,0.72
18500,0.83
18600,0.68
18700,0.83
18800,0.81
18900,0.74
19000,0.83
19100,0.75
19200,0.75
19300,0.81
19400,0.87
19500,0.85
19600,0.75
19700,0.78
19800,0.89
19900,0.72
20000,0.86
20100,0.85
20200,0.78
20300,0.72
20400,0.71
20500,0.75
20600,0.88
20700,0.75
20800,0.76
20900,0.84
21000,0.63
21100,0.71
21200,0.78
21300,0.73
21400,0.8
21500,0.81
21600,0.81
21700,0.83
21800,0.9
21900,0.84
22000,0.74
22100,0.8
22200,0.76
22300,0.83
22400,0.8
22500,0.69
22600,0.77
22700,0.78
22800,0.84
22900,0.89
23000,0.81
23100,0.7
23200,0.8
23300,0.82
23400,0.86
23500,0.79
23600,0.78
23700,0.7
23800,0.61
23900,0.74
24000,0.76
24100,0.79
24200,0.88
24300,0.74
24400,0.81
24500,0.85
24600,0.76
24700,0.89
24800,0.75
24900,0.79
25000,0.81
25100,0.83
25200,0.8
25300,0.84
25400,0.73
25500,0.87
25600,0.88
25700,0.8
25800,0.84
25900,0.87
26000,0.8
26100,0.84
26200,0.83
26300,0.82
26400,0.83
26500,0.79
26600,0.78
26700,0.75
26800,0.73
26900,0.84
27000,0.82
27100,0.84
27200,0.89
27300,0.77
27400,0.87
27500,0.81
27600,0.73
27700,0.83
27800,0.85
27900,0.81
28000,0.81
28100,0.84
28200,0.79
28300,0.85
28400,0.86
28500,0.82
28600,0.77
28700,0.81
28800,0.79
28900,0.88
29000,0.89
29100,0.77
29200,0.76
29300,0.8
29400,0.89
29500,0.86
29600,0.67
29700,0.88
29800,0.81
29900,0.84
30000,0.86
