step,avg_score
100,0.44
200,0.6
300,0.57
400,0.74
500,0.64
600,0.44
700,0.43
800,0.6
900,0.47
1000,0.35
1100,0.62
1200,0.67
1300,0.26
1400,0.59
1500,0.5
1600,0.55
1700,0.41
1800,0.56
1900,0.28
2000,0.45
2100,0.58
2200,0.62
2300,0.73
2400,0.36
2500,0.53
2600,0.34
2700,0.35
2800,0.78
2900,0.5
3000,0.56
3100,0.61
3200,0.53
3300,0.69
3400,0.59
3500,0.54
3600,0.41
3700,0.6
3800,0.87
3900,0.44
4000,0.37
4100,0.63
4200,0.44
4300,0.57
4400,0.65
4500,0.48
4600,0.28
4700,0.8
4800,0.56
4900,0.31
5000,0.66
5100,0.36
5200,0.74
5300,0.82
5400,0.78
5500,0.47
5600,0.5
5700,0.67
5800,0.33
5900,0.46
6000,0.61
6100,0.55
6200,0.53
6300,0.44
6400,0.62
6500,0.56
6600,0.64
6700,0.54
6800,0.75
6900,0.3
7000,0.46
7100,0.59
7200,0.6
7300,0.72
7400,0.73
7500,0.53
7600,0.57
7700,0.48
7800,0.38
7900,0.72
8000,0.48
8100,0.58
8200,0.72
8300,0.72
8400,0.58
8500,0.42
8600,0.67
8700,0.63
8800,0.48
8900,0.39
9000,0.69
9100,0.15
9200,0.47
9300,0.53
9400,0.35
9500,0.44
9600,0.63
9700,0.26
9800,0.69
9900,0.53
10000,0.46
10100,0.71
10200,0.51
10300,0.47
10400,0.54
10500,0.19
10600,0.21
10700,0.32
10800,0.36
10900,0.41
11000,0.48
11100,0.64
11200,0.5
11300,0.53
11400,0.76
11500,0.42
11600,0.62
11700,0.61
11800,0.6
11900,0.57
12000,0.65
12100,0.6
12200,0.48
12300,0.47
12400,0.14
12500,0.52
12600,0.45
12700,0.61
12800,0.62
12900,0.39
13000,0.64
13100,0.45
13200,0.47
13300,0.29
13400,0.4
13500,0.44
13600,0.46
13700,0.5
13800,0.56
13900,0.38
14000,0.59
14100,0.62
14200,0.59
14300,0.63
14400,0.61
14500,0.6
14600,0.43
14700,0.45
14800,0.6
14900,0.72
15000,0.63
15100,0.48
15200,0.32
15300,0.4
15400,0.47
15500,0.55
15600,0.42
15700,0.19
15800,0.54
15900,0.58
16000,0.53
16100,0.52
16200,0.65
16300,0.52
16400,0.45
16500,0.73
16600,0.66
16700,0.58
16800,0.3
16900,0.4
17000,0.47
17100,0.37
17200,0.43
17300,0.74
17400,0.42
17500,0.44
17600,0.51
17700,0.51
17800,0.47
17900,0.7
18000,0.61
18100,0.68
18200,0.59
18300,0.63
18400,0.29
18500,0.68
18600,0.32
18700,0.37
18800,0.57
18900,0.36
19000,0.79
19100,0.55
19200,0.62
19300,0.51
19400,0.46
19500,0.38
19600,0.66
19700,0.7
19800,0.57
19900,0.72
20000,0.76
20100,0.43
20200,0.64
20300,0.89
20400,0.49
20500,0.73
20600,0.43
20700,0.45
20800,0.67
20900,0.54
21000,0.25
21100,0.59
21200,0.67
21300,0.7
21400,0.38
21500,0.57
21600,0.6
21700,0.33
21800,0.42
21900,0.69
22000,0.76
22100,0.6
22200,0.49
22300,0.43
22400,0.17
22500,0.42
22600,0.68
22700,0.74
22800,0.67
22900,0.7
23000,0.69
23100,0.29
23200,0.77
23300,0.64
23400,0.6
23500,0.34
23600,0.29
23700,0.65
23800,0.7
23900,0.59
24000,0.32
24100,0.29
24200,0.84
24300,0.47
24400,0.46
24500,0.65
24600,0.47
24700,0.56
24800,0.5
24900,0.48
25000,0.62
25100,0.59
25200,0.07
25300,0.71
25400,0.45
25500,0.72
25600,0.37
25700,0.5
25800,0.38
25900,0.64
26000,0.56
26100,0.4
26200,0.58
26300,0.53
26400,0.6
26500,0.49
26600,0.51
26700,0.74
26800,0.67
26900,0.62
27000,0.42
27100,0.46
27200,0.66
27300,0.69
27400,0.5
27500,0.48
27600,0.72
27700,0.19
27800,0.73
27900,0.58
28000,0.75
28100,0.4
28200,0.78
28300,0.56
28400,0.73
28500,0.59
28600,0.39
28700,0.67
28800,0.46
28900,0.74
29000,0.43
29100,0.53
29200,0.72
29300,0.66
29400,0.63
29500,0.67
29600,0.63
29700,0.36
29800,0.39
29900,0.49
30000,0.42
