step,avg_score
100,0.73
200,0.5
300,0.6
400,0.54
500,0.58
600,0.4
700,0.71
800,0.54
900,0.45
1000,0.56
1100,0.73
1200,0.29
1300,0.58
1400,0.57
1500,0.72
1600,0.59
1700,0.78
1800,0.55
1900,0.46
2000,0.55
2100,0.63
2200,0.5
2300,0.63
2400,0.56
2500,0.61
2600,0.62
2700,0.69
2800,0.61
2900,0.62
3000,0.78
3100,0.48
3200,0.58
3300,0.53
3400,0.47
3500,0.53
3600,0.52
3700,0.48
3800,0.53
3900,0.46
4000,0.73
4100,0.67
4200,0.74
4300,0.56
4400,0.55
4500,0.81
4600,0.64
4700,0.83
4800,0.66
4900,0.72
5000,0.67
5100,0.79
5200,0.63
5300,0.66
5400,0.72
5500,0.45
5600,0.6
5700,0.69
5800,0.49
5900,0.6
6000,0.76
6100,0.31
6200,0.6
6300,0.68
6400,0.6
6500,0.62
6600,0.55
6700,0.77
6800,0.74
6900,0.63
7000,0.55
7100,0.52
7200,0.71
7300,0.66
7400,0.43
7500,0.4
7600,0.54
7700,0.53
7800,0.65
7900,0.76
8000,0.7
8100,0.44
8200,0.84
8300,0.71
8400,0.74
8500,0.36
8600,0.45
8700,0.61
8800,0.66
8900,0.66
9000,0.48
9100,0.18
9200,0.66
9300,0.43
9400,0.54
9500,0.61
9600,0.84
9700,0.76
9800,0.52
9900,0.52
10000,0.65
10100,0.62
10200,0.68
10300,0.74
10400,0.65
10500,0.47
10600,0.69
10700,0.7
10800,0.76
10900,0.5
11000,0.47
11100,0.56
11200,0.67
11300,0.66
11400,0.38
11500,0.43
11600,0.81
11700,0.46
11800,0.5
11900,0.86
12000,0.64
12100,0.68
12200,0.69
12300,0.68
12400,0.54
12500,0.7
12600,0.56
12700,0.57
12800,0.64
12900,0.67
13000,0.59
13100,0.71
13200,0.44
13300,0.57
13400,0.76
13500,0.61
13600,0.65
13700,0.77
13800,0.68
13900,0.5
14000,0.64
14100,0.69
14200,0.47
14300,0.35
14400,0.69
14500,0.71
14600,0.63
14700,0.81
14800,0.7
14900,0.59
15000,0.83
15100,0.76
15200,0.64
15300,0.69
15400,0.7
15500,0.72
15600,0.68
15700,0.68
15800,0.63
15900,0.78
16000,0.68
16100,0.58
16200,0.77
16300,0.75
16400,0.82
16500,0.71
16600,0.82
16700,0.77
16800,0.65
16900,0.77
17000,0.5
17100,0.48
17200,0.62
17300,0.52
17400,0.57
17500,0.75
17600,0.79
17700,0.64
17800,0.64
17900,0.69
18000,0.54
18100,0.61
18200,0.53
18300,0.74
18400,0.63
18500,0.78
18600,0.75
18700,0.79
18800,0.71
18900,0.73
19000,0.81
19100,0.7
19200,0.67
19300,0.74
19400,0.61
19500,0.72
19600,0.82
19700,0.59
19800,0.84
19900,0.77
20000,0.85
20100,0.85
20200,0.8
20300,0.77
20400,0.53
20500,0.84
20600,0.5
20700,0.68
20800,0.85
20900,0.67
21000,0.74
21100,0.72
21200,0.79
21300,0.81
21400,0.81
21500,0.86
21600,0.56
21700,0.69
21800,0.78
21900,0.71
22000,0.72
22100,0.79
22200,0.58
22300,0.7
22400,0.61
22500,0.75
22600,0.79
22700,0.75
22800,0.66
22900,0.84
23000,0.61
23100,0.83
23200,0.75
23300,0.78
23400,0.83
23500,0.87
23600,0.77
23700,0.79
23800,0.72
23900,0.65
24000,0.77
24100,0.77
24200,0.77
24300,0.76
24400,0.75
24500,0.79
24600,0.74
24700,0.73
24800,0.75
24900,0.73
25000,0.64
25100,0.84
25200,0.83
25300,0.69
25400,0.74
25500,0.75
25600,0.76
25700,0.78
25800,0.81
25900,0.71
26000,0.74
26100,0.77
26200,0.77
26300,0.69
26400,0.61
26500,0.73
26600,0.73
26700,0.76
26800,0.81
26900,0.54
27000,0.78
27100,0.81
27200,0.68
27300,0.79
27400,0.87
27500,0.83
27600,0.87
27700,0.85
27800,0.62
27900,0.82
28000,0.92
28100,0.82
28200,0.68
28300,0.82
28400,0.54
28500,0.82
28600,0.82
28700,0.79
28800,0.85
28900,0.73
29000,0.62
29100,0.81
29200,0.8
29300,0.67
29400,0.67
29500,0.67
29600,0.85
29700,0.81
29800,0.71
29900,0.79
30000,0.65
