step,avg_score
100,0.58
200,0.19
300,0.31
400,0.32
500,0.47
600,0.3
700,0.51
800,0.63
900,0.64
1000,0.42
1100,0.63
1200,0.48
1300,0.46
1400,0.86
1500,0.5
1600,0.65
1700,0.48
1800,0.55
1900,0.64
2000,0.3
2100,0.44
2200,0.61
2300,0.41
2400,0.61
2500,0.5
2600,0.56
2700,0.41
2800,0.39
2900,0.58
3000,0.3
3100,0.36
3200,0.55
3300,0.63
3400,0.54
3500,0.84
3600,0.17
3700,0.47
3800,0.54
3900,0.5
4000,0.53
4100,0.5
4200,0.72
4300,0.56
4400,0.32
4500,0.48
4600,0.58
4700,0.8
4800,0.54
4900,0.71
5000,0.78
5100,0.55
5200,0.58
5300,0.72
5400,0.46
5500,0.55
5600,0.48
5700,0.65
5800,0.63
5900,0.49
6000,0.7
6100,0.66
6200,0.65
6300,0.65
6400,0.54
6500,0.57
6600,0.63
6700,0.68
6800,0.75
6900,0.71
7000,0.54
7100,0.71
7200,0.81
7300,0.76
7400,0.58
7500,0.66
7600,0.49
7700,0.58
7800,0.58
7900,0.8
8000,0.72
8100,0.68
8200,0.53
8300,0.59
8400,0.76
8500,0.68
8600,0.55
8700,0.64
8800,0.73
8900,0.65
9000,0.74
9100,0.65
9200,0.76
9300,0.56
9400,0.69
9500,0.27
9600,0.36
9700,0.81
9800,0.71
9900,0.52
10000,0.73
10100,0.68
10200,0.53
10300,0.71
10400,0.74
10500,0.73
10600,0.58
10700,0.67
10800,0.71
10900,0.53
11000,0.76
11100,0.8
11200,0.54
11300,0.61
11400,0.62
11500,0.56
11600,0.81
11700,0.68
11800,0.76
11900,0.75
12000,0.56
12100,0.76
12200,0.73
12300,0.78
12400,0.68
12500,0.79
12600,0.5
12700,0.69
12800,0.69
12900,0.51
13000,0.84
13100,0.74
13200,0.43
13300,0.6
13400,0.64
13500,0.55
13600,0.69
13700,0.54
13800,0.61
13900,0.79
14000,0.65
14100,0.57
14200,0.71
14300,0.75
14400,0.8
14500,0.72
14600,0.77
14700,0.79
14800,0.75
14900,0.66
15000,0.71
15100,0.83
15200,0.63
15300,0.74
15400,0.83
15500,0.73
15600,0.62
15700,0.53
15800,0.63
15900,0.7
16000,0.68
16100,0.81
16200,0.71
16300,0.58
16400,0.62
16500,0.76
16600,0.78
16700,0.66
16800,0.62
16900,0.78
17000,0.58
17100,0.63
17200,0.74
17300,0.63
17400,0.74
17500,0.77
17600,0.82
17700,0.7
17800,0.82
17900,0.56
18000,0.75
18100,0.8
18200,0.76
18300,0.61
18400,0.66
18500,0.61
18600,0.77
18700,0.85
18800,0.63
18900,0.81
19000,0.76
19100,0.76
19200,0.75
19300,0.7
19400,0.78
19500,0.9
19600,0.68
19700,0.58
19800,0.67
19900,0.61
20000,0.74
20100,0.85
20200,0.83
20300,0.72
20400,0.79
20500,0.78
20600,0.6
20700,0.66
20800,0.73
20900,0.57
21000,0.67
21100,0.42
21200,0.87
21300,0.78
21400,0.67
21500,0.68
21600,0.84
21700,0.74
21800,0.81
21900,0.63
22000,0.63
22100,0.72
22200,0.66
22300,0.62
22400,0.54
22500,0.81
22600,0.54
22700,0.77
22800,0.85
22900,0.73
23000,0.59
23100,0.77
23200,0.87
23300,0.83
23400,0.71
23500,0.8
23600,0.73
23700,0.75
23800,0.71
23900,0.75
24000,0.83
24100,0.63
24200,0.77
24300,0.88
24400,0.79
24500,0.88
24600,0.63
24700,0.78
24800,0.84
24900,0.82
25000,0.79
25100,0.87
25200,0.78
25300,0.73
25400,0.68
25500,0.62
25600,0.85
25700,0.82
25800,0.75
25900,0.75
26000,0.65
26100,0.82
26200,0.75
26300,0.58
26400,0.72
26500,0.88
26600,0.81
26700,0.85
26800,0.86
26900,0.81
27000,0.87
27100,0.59
27200,0.66
27300,0.74
27400,0.7
27500,0.74
27600,0.66
27700,0.87
27800,0.75
27900,0.85
28000,0.81
28100,0.67
28200,0.81
28300,0.83
28400,0.73
28500,0.85
28600,0.81
28700,0.76
28800,0.79
28900,0.81
29000,0.68
29100,0.88
29200,0.85
29300,0.81
29400,0.81
29500,0.59
29600,0.68
29700,0.83
29800,0.86
29900,0.74
30000,0.82
