step,avg_score
100,0.53
200,0.38
300,0.61
400,0.13
500,0.38
600,0.7
700,0.47
800,0.48
900,0.43
1000,0.69
1100,0.66
1200,0.56
1300,0.48
1400,0.34
1500,0.79
1600,0.39
1700,0.8
1800,0.55
1900,0.34
2000,0.58
2100,0.56
2200,0.46
2300,0.3
2400,0.49
2500,0.73
2600,0.44
2700,0.51
2800,0.53
2900,0.64
3000,0.25
3100,0.55
3200,0.35
3300,0.5
3400,0.67
3500,0.3
3600,0.68
3700,0.58
3800,0.37
3900,0.55
4000,0.41
4100,0.66
4200,0.37
4300,0.64
4400,0.34
4500,0.34
4600,0.56
4700,0.52
4800,0.68
4900,0.22
5000,0.47
5100,0.29
5200,0.39
5300,0.48
5400,0.54
5500,0.4
5600,0.69
5700,0.29
5800,0.57
5900,0.11
6000,0.49
6100,0.61
6200,0.62
6300,0.6
6400,0.57
6500,0.5
6600,0.74
6700,0.78
6800,0.45
6900,0.64
7000,0.46
7100,0.64
7200,0.79
7300,0.52
7400,0.49
7500,0.61
7600,0.48
7700,0.39
7800,0.47
7900,0.7
8000,0.45
8100,0.51
8200,0.58
8300,0.42
8400,0.55
8500,0.7
8600,0.61
8700,0.71
8800,0.46
8900,0.71
9000,0.17
9100,0.69
9200,0.62
9300,0.4
9400,0.63
9500,0.29
9600,0.51
9700,0.59
9800,0.57
9900,0.63
10000,0.7
10100,0.64
10200,0.29
10300,0.72
10400,0.46
10500,0.48
10600,0.29
10700,0.52
10800,0.43
10900,0.69
11000,0.46
11100,0.62
11200,0.57
11300,0.35
11400,0.49
11500,0.51
11600,0.4
11700,0.77
11800,0.25
11900,0.54
12000,0.55
12100,0.81
12200,0.86
12300,0.64
12400,0.67
12500,0.69
12600,0.53
12700,0.37
12800,0.73
12900,0.44
13000,0.65
13100,0.62
13200,0.44
13300,0.54
13400,0.59
13500,0.76
13600,0.53
13700,0.66
13800,0.73
13900,0.62
14000,0.51
14100,0.47
14200,0.57
14300,0.6
14400,0.22
14500,0.61
14600,0.76
14700,0.74
14800,0.48
14900,0.57
15000,0.57
15100,0.36
15200,0.56
15300,0.51
15400,0.44
15500,0.74
15600,0.64
15700,0.54
15800,0.44
15900,0.52
16000,0.64
16100,0.42
16200,0.57
16300,0.58
16400,0.36
16500,0.67
16600,0.61
16700,0.39
16800,0.5
16900,0.68
17000,0.53
17100,0.27
17200,0.61
17300,0.38
17400,0.66
17500,0.39
17600,0.5
17700,0.6
17800,0.68
17900,0.51
18000,0.38
18100,0.5
18200,0.53
18300,0.43
18400,0.58
18500,0.65
18600,0.39
18700,0.54
18800,0.66
18900,0.67
19000,0.42
19100,0.65
19200,0.5
19300,0.68
19400,0.62
19500,0.72
19600,0.32
19700,0.59
19800,0.55
19900,0.6
20000,0.57
20100,0.55
20200,0.67
20300,0.42
20400,0.36
20500,0.44
20600,0.6
20700,0.76
20800,0.42
20900,0.41
21000,0.42
21100,0.63
21200,0.76
21300,0.43
21400,0.56
21500,0.46
21600,0.54
21700,0.27
21800,0.59
21900,0.52
22000,0.73
22100,0.55
22200,0.35
22300,0.29
22400,0.6
22500,0.66
22600,0.51
22700,0.52
22800,0.65
22900,0.59
23000,0.66
23100,0.42
23200,0.6
23300,0.71
23400,0.45
23500,0.62
23600,0.7
23700,0.47
23800,0.37
23900,0.4
24000,0.64
24100,0.74
24200,0.59
24300,0.54
24400,0.56
24500,0.6
24600,0.59
24700,0.54
24800,0.59
24900,0.62
25000,0.57
25100,0.78
25200,0.52
25300,0.43
25400,0.4
25500,0.39
25600,0.6
25700,0.79
25800,0.74
25900,0.44
26000,0.36
26100,0.67
26200,0.31
26300,0.54
26400,0.81
26500,0.71
26600,0.41
26700,0.55
26800,0.6
26900,0.33
27000,0.53
27100,0.44
27200,0.34
27300,0.66
27400,0.76
27500,0.23
27600,0.41
27700,0.79
27800,0.8
27900,0.69
28000,0.33
28100,0.58
28200,0.77
28300,0.56
28400,0.76
28500,0.66
28600,0.56
28700,0.75
28800,0.7
28900,0.65
29000,0.79
29100,0.58
29200,0.72
29300,0.56
29400,0.56
29500,0.57
29600,0.53
29700,0.4
29800,0.41
29900,0.69
30000,0.22
