step,avg_score
100,0.34
200,0.63
300,0.62
400,0.55
500,0.49
600,0.56
700,0.57
800,0.46
900,0.59
1000,0.81
1100,0.81
1200,0.58
1300,0.63
1400,0.35
1500,0.83
1600,0.65
1700,0.47
1800,0.47
1900,0.27
2000,0.52
2100,0.51
2200,0.61
2300,0.52
2400,0.62
2500,0.54
2600,0.6
2700,0.7
2800,0.75
2900,0.4
3000,0.46
3100,0.64
3200,0.61
3300,0.8
3400,0.68
3500,0.65
3600,0.61
3700,0.58
3800,0.53
3900,0.44
4000,0.4
4100,0.4
4200,0.48
4300,0.53
4400,0.52
4500,0.49
4600,0.78
4700,0.45
4800,0.75
4900,0.46
5000,0.84
5100,0.5
5200,0.71
5300,0.7
5400,0.66
5500,0.63
5600,0.39
5700,0.69
5800,0.71
5900,0.64
6000,0.68
6100,0.72
6200,0.57
6300,0.53
6400,0.55
6500,0.8
6600,0.67
6700,0.74
6800,0.68
6900,0.6
7000,0.65
7100,0.46
7200,0.47
7300,0.75
7400,0.57
7500,0.67
7600,0.6
7700,0.73
7800,0.65
7900,0.67
8000,0.33
8100,0.47
8200,0.57
8300,0.7
8400,0.63
8500,0.6
8600,0.79
8700,0.47
8800,0.48
8900,0.58
9000,0.58
9100,0.68
9200,0.47
9300,0.54
9400,0.55
9500,0.48
9600,0.61
9700,0.52
9800,0.57
9900,0.74
10000,0.55
10100,0.78
10200,0.63
10300,0.63
10400,0.45
10500,0.64
10600,0.71
10700,0.43
10800,0.79
10900,0.61
11000,0.61
11100,0.8
11200,0.38
11300,0.57
11400,0.65
11500,0.55
11600,0.39
11700,0.51
11800,0.51
11900,0.67
12000,0.81
12100,0.7
12200,0.69
12300,0.8
12400,0.56
12500,0.6
12600,0.71
12700,0.56
12800,0.59
12900,0.52
13000,0.78
13100,0.63
13200,0.83
13300,0.58
13400,0.76
13500,0.62
13600,0.76
13700,0.65
13800,0.67
13900,0.69
14000,0.65
14100,0.7
14200,0.86
14300,0.76
14400,0.52
14500,0.44
14600,0.65
14700,0.78
14800,0.63
14900,0.7
15000,0.54
15100,0.72
15200,0.59
15300,0.56
15400,0.8
15500,0.59
15600,0.57
15700,0.74
15800,0.46
15900,0.79
16000,0.75
16100,0.81
16200,0.68
16300,0.71
16400,0.59
16500,0.55
16600,0.82
16700,0.81
16800,0.76
16900,0.6
17000,0.63
17100,0.77
17200,0.69
17300,0.8
17400,0.5
17500,0.74
17600,0.82
17700,0.79
17800,0.75
17900,0.82
18000,0.82
18100,0.59
18200,0.64
18300,0.66
18400,0.8
18500,0.69
18600,0.76
18700,0.79
18800,0.68
18900,0.8
19000,0.58
19100,0.77
19200,0.8
19300,0.72
19400,0.82
19500,0.62
19600,0.8
19700,0.69
19800,0.74
19900,0.73
20000,0.47
20100,0.5
20200,0.66
20300,0.76
20400,0.62
20500,0.69
20600,0.69
20700,0.69
20800,0.77
20900,0.66
21000,0.56
21100,0.65
21200,0.83
21300,0.81
21400,0.78
21500,0.68
21600,0.67
21700,0.82
21800,0.73
21900,0.8
22000,0.68
22100,0.81
22200,0.63
22300,0.66
22400,0.71
22500,0.8
22600,0.87
22700,0.77
22800,0.83
22900,0.76
23000,0.73
23100,0.79
23200,0.81
23300,0.83
23400,0.79
23500,0.84
23600,0.65
23700,0.82
23800,0.8
23900,0.67
24000,0.85
24100,0.64
24200,0.65
24300,0.87
24400,0.82
24500,0.76
24600,0.81
24700,0.78
24800,0.8
24900,0.78
25000,0.79
25100,0.71
25200,0.77
25300,0.75
25400,0.67
25500,0.72
25600,0.65
25700,0.84
25800,0.8
25900,0.61
26000,0.73
26100,0.78
26200,0.88
26300,0.78
26400,0.76
26500,0.73
26600,0.75
26700,0.73
26800,0.77
26900,0.79
27000,0.79
27100,0.84
27200,0.73
27300,0.74
27400,0.85
27500,0.89
27600,0.67
27700,0.79
27800,0.83
27900,0.73
28000,0.81
28100,0.87
28200,0.75
28300,0.82
28400,0.78
28500,0.86
28600,0.73
28700,0.85
28800,0.83
28900,0.78
29000,0.84
29100,0.74
29200,0.78
29300,0.83
29400,0.84
29500,0.74
29600,0.81
29700,0.58
29800,0.79
29900,0.79
30000,0.72
