step,avg_score
100,0.15
200,0.42
300,0.18
400,0.04
500,0.04
600,0.22
700,0.1
800,0.12
900,0.31
1000,0.18
1100,0.06
1200,0.4
1300,0.0
1400,0.0
1500,0.24
1600,0.07
1700,0.11
1800,0.28
1900,0.15
2000,0.0
2100,0.0
2200,0.1
2300,0.15
2400,0.18
2500,0.25
2600,0.25
2700,0.06
2800,0.09
2900,0.11
3000,0.27
3100,0.0
3200,0.27
3300,0.19
3400,0.21
3500,0.0
3600,0.38
3700,0.18
3800,0.2
3900,0.07
4000,0.07
4100,0.16
4200,0.39
4300,0.14
4400,0.31
4500,0.0
4600,0.11
4700,0.14
4800,0.15
4900,0.21
5000,0.19
5100,0.04
5200,0.17
5300,0.05
5400,0.09
5500,0.13
5600,0.13
5700,0.1
5800,0.32
5900,0.15
6000,0.2
6100,0.1
6200,0.09
6300,0.26
6400,0.09
6500,0.12
6600,0.14
6700,0.0
6800,0.14
6900,0.23
7000,0.24
7100,0.18
7200,0.23
7300,0.33
7400,0.42
7500,0.27
7600,0.13
7700,0.06
7800,0.26
7900,0.14
8000,0.34
8100,0.18
8200,0.33
8300,0.1
8400,0.17
8500,0.06
8600,0.28
8700,0.2
8800,0.25
8900,0.21
9000,0.51
9100,0.23
9200,0.35
9300,0.36
9400,0.32
9500,0.22
9600,0.14
9700,0.29
9800,0.21
9900,0.16
10000,0.25
10100,0.32
10200,0.31
10300,0.34
10400,0.4
10500,0.29
10600,0.0
10700,0.18
10800,0.33
10900,0.32
11000,0.21
11100,0.37
11200,0.25
11300,0.33
11400,0.25
11500,0.32
11600,0.45
11700,0.23
11800,0.44
11900,0.17
12000,0.16
12100,0.29
12200,0.44
12300,0.28
12400,0.36
12500,0.62
12600,0.28
12700,0.38
12800,0.21
12900,0.46
13000,0.23
13100,0.65
13200,0.35
13300,0.29
13400,0.64
13500,0.5
13600,0.42
13700,0.63
13800,0.63
13900,0.34
14000,0.26
14100,0.52
14200,0.48
14300,0.47
14400,0.5
14500,0.45
14600,0.23
14700,0.57
14800,0.23
14900,0.33
15000,0.33
15100,0.41
15200,0.64
15300,0.42
15400,0.41
15500,0.72
15600,0.38
15700,0.41
15800,0.46
15900,0.58
16000,0.49
16100,0.26
16200,0.35
16300,0.54
16400,0.5
16500,0.49
16600,0.25
16700,0.55
16800,0.53
16900,0.44
17000,0.44
17100,0.17
17200,0.37
17300,0.37
17400,0.56
17500,0.37
17600,0.3
17700,0.49
17800,0.18
17900,0.33
18000,0.4
18100,0.61
18200,0.45
18300,0.66
18400,0.22
18500,0.38
18600,0.54
18700,0.29
18800,0.52
18900,0.18
19000,0.46
19100,0.47
19200,0.35
19300,0.55
19400,0.47
19500,0.46
19600,0.56
19700,0.31
19800,0.62
19900,0.38
20000,0.58
20100,0.55
20200,0.54
20300,0.47
20400,0.43
20500,0.43
20600,0.44
20700,0.35
20800,0.61
20900,0.22
21000,0.23
21100,0.42
21200,0.33
21300,0.31
21400,0.58
21500,0.57
21600,0.53
21700,0.38
21800,0.44
21900,0.61
22000,0.63
22100,0.79
22200,0.47
22300,0.6
22400,0.6
22500,0.52
22600,0.6
22700,0.33
22800,0.51
22900,0.65
23000,0.28
23100,0.43
23200,0.5
23300,0.56
23400,0.65
23500,0.69
23600,0.62
23700,0.71
23800,0.57
23900,0.68
24000,0.29
24100,0.53
24200,0.49
24300,0.63
24400,0.59
24500,0.56
24600,0.4
24700,0.69
24800,0.6
24900,0.41
25000,0.67
