step,avg_score
100,0.64
200,0.09
300,0.12
400,0.3
500,0.51
600,0.5
700,0.25
800,0.25
900,0.35
1000,0.42
1100,0.69
1200,0.28
1300,0.38
1400,0.52
1500,0.35
1600,0.49
1700,0.47
1800,0.61
1900,0.55
2000,0.54
2100,0.09
2200,0.38
2300,0.29
2400,0.67
2500,0.57
2600,0.53
2700,0.78
2800,0.59
2900,0.37
3000,0.71
3100,0.91
3200,0.47
3300,0.06
3400,0.36
3500,0.54
3600,0.37
3700,0.43
3800,0.47
3900,0.8
4000,0.31
4100,0.3
4200,0.06
4300,0.41
4400,0.59
4500,0.2
4600,0.67
4700,0.55
4800,0.64
4900,0.28
5000,0.53
5100,0.19
5200,0.46
5300,0.52
5400,0.69
5500,0.73
5600,0.55
5700,0.5
5800,0.83
5900,0.38
6000,0.63
6100,0.64
6200,0.76
6300,0.47
6400,0.44
6500,0.58
6600,0.61
6700,0.5
6800,0.7
6900,0.79
7000,0.78
7100,0.89
7200,0.89
7300,0.75
7400,0.66
7500,0.84
7600,0.73
7700,0.67
7800,0.73
7900,0.78
8000,0.73
8100,0.71
8200,0.54
8300,0.69
8400,0.87
8500,0.81
8600,0.66
8700,0.73
8800,0.61
8900,0.72
9000,0.67
9100,0.61
9200,0.74
9300,0.76
9400,0.86
9500,0.74
9600,0.87
9700,0.67
9800,0.64
9900,0.86
10000,0.64
10100,0.74
10200,0.85
10300,0.34
10400,0.71
10500,0.74
10600,0.77
10700,0.71
10800,0.75
10900,0.87
11000,0.86
11100,0.83
11200,0.91
11300,0.74
11400,0.91
11500,0.72
11600,0.83
11700,0.74
11800,0.9
11900,0.77
12000,0.67
12100,0.89
12200,0.77
12300,0.83
12400,0.77
12500,0.67
12600,0.91
12700,0.73
12800,0.82
12900,0.81
13000,0.77
13100,0.82
13200,0.87
13300,0.69
13400,0.86
13500,0.94
13600,0.77
13700,0.76
13800,0.9
13900,0.61
14000,0.92
14100,0.82
14200,0.87
14300,0.77
14400,0.93
14500,0.73
14600,0.89
14700,0.75
14800,0.85
14900,0.83
15000,0.68
15100,0.81
15200,0.92
15300,0.93
15400,0.77
15500,0.92
15600,0.9
15700,0.79
15800,0.9
15900,0.82
16000,0.94
16100,0.91
16200,0.8
16300,0.75
16400,0.91
16500,0.76
16600,0.91
16700,0.91
16800,0.77
16900,0.92
17000,0.86
17100,0.9
17200,0.94
17300,0.88
17400,0.93
17500,0.87
17600,0.81
17700,0.74
17800,0.68
17900,0.86
18000,0.93
18100,0.9
18200,0.8
18300,0.84
18400,0.93
18500,0.71
18600,0.9
18700,0.89
18800,0.91
18900,0.87
19000,0.88
19100,0.9
19200,0.82
19300,0.89
19400,0.94
19500,0.95
19600,0.92
19700,0.73
19800,0.67
19900,0.76
20000,0.78
20100,0.93
20200,0.93
20300,0.61
20400,0.93
20500,0.93
20600,0.94
20700,0.91
20800,0.92
20900,0.75
21000,0.88
21100,0.93
21200,0.81
21300,0.81
21400,0.9
21500,0.86
21600,0.83
21700,0.9
21800,0.84
21900,0.85
22000,0.83
22100,0.57
22200,0.91
22300,0.77
22400,0.86
22500,0.88
22600,0.93
22700,0.86
22800,0.8
22900,0.84
23000,0.8
23100,0.66
23200,0.9
23300,0.91
23400,0.82
23500,0.89
23600,0.86
23700,0.78
23800,0.76
23900,0.82
24000,0.93
24100,0.8
24200,0.84
24300,0.81
24400,0.9
24500,0.91
24600,0.77
24700,0.82
24800,0.87
24900,0.71
25000,0.83
