step,avg_score
100,0.18
200,0.14
300,0.21
400,0.42
500,0.16
600,0.3
700,0.1
800,0.23
900,0.33
1000,0.38
1100,0.18
1200,0.17
1300,0.09
1400,0.31
1500,0.16
1600,0.0
1700,0.1
1800,0.16
1900,0.16
2000,0.27
2100,0.0
2200,0.33
2300,0.11
2400,0.17
2500,0.21
2600,0.31
2700,0.11
2800,0.11
2900,0.0
3000,0.14
3100,0.16
3200,0.34
3300,0.36
3400,0.05
3500,0.0
3600,0.3
3700,0.18
3800,0.23
3900,0.18
4000,0.28
4100,0.37
4200,0.35
4300,0.22
4400,0.32
4500,0.47
4600,0.05
4700,0.32
4800,0.06
4900,0.42
5000,0.3
5100,0.05
5200,0.21
5300,0.24
5400,0.3
5500,0.38
5600,0.37
5700,0.15
5800,0.27
5900,0.04
6000,0.22
6100,0.23
6200,0.26
6300,0.04
6400,0.17
6500,0.23
6600,0.15
6700,0.12
6800,0.35
6900,0.49
7000,0.17
7100,0.32
7200,0.38
7300,0.18
7400,0.43
7500,0.19
7600,0.38
7700,0.39
7800,0.4
7900,0.24
8000,0.14
8100,0.18
8200,0.37
8300,0.28
8400,0.41
8500,0.36
8600,0.05
8700,0.12
8800,0.2
8900,0.22
9000,0.21
9100,0.43
9200,0.19
9300,0.32
9400,0.31
9500,0.0
9600,0.16
9700,0.35
9800,0.24
9900,0.18
10000,0.5
10100,0.26
10200,0.21
10300,0.36
10400,0.42
10500,0.26
10600,0.54
10700,0.25
10800,0.57
10900,0.2
11000,0.38
11100,0.32
11200,0.46
11300,0.3
11400,0.53
11500,0.43
11600,0.32
11700,0.44
11800,0.36
11900,0.18
12000,0.24
12100,0.29
12200,0.25
12300,0.35
12400,0.32
12500,0.52
12600,0.25
12700,0.2
12800,0.29
12900,0.45
13000,0.06
13100,0.38
13200,0.54
13300,0.4
13400,0.54
13500,0.33
13600,0.53
13700,0.63
13800,0.35
13900,0.35
14000,0.32
14100,0.29
14200,0.55
14300,0.35
14400,0.49
14500,0.12
14600,0.49
14700,0.42
14800,0.63
14900,0.53
15000,0.57
15100,0.43
15200,0.45
15300,0.46
15400,0.56
15500,0.38
15600,0.32
15700,0.14
15800,0.48
15900,0.33
16000,0.44
16100,0.74
16200,0.38
16300,0.53
16400,0.33
16500,0.65
16600,0.53
16700,0.33
16800,0.28
16900,0.43
17000,0.67
17100,0.22
17200,0.57
17300,0.45
17400,0.25
17500,0.67
17600,0.56
17700,0.48
17800,0.59
17900,0.56
18000,0.56
18100,0.76
18200,0.51
18300,0.37
18400,0.34
18500,0.62
18600,0.29
18700,0.43
18800,0.41
18900,0.35
19000,0.71
19100,0.6
19200,0.42
19300,0.55
19400,0.66
19500,0.39
19600,0.51
19700,0.56
19800,0.47
19900,0.52
20000,0.65
20100,0.71
20200,0.52
20300,0.54
20400,0.43
20500,0.52
20600,0.55
20700,0.52
20800,0.64
20900,0.36
21000,0.38
21100,0.73
21200,0.63
21300,0.7
21400,0.57
21500,0.71
21600,0.44
21700,0.51
21800,0.55
21900,0.48
22000,0.38
22100,0.4
22200,0.59
22300,0.64
22400,0.66
22500,0.52
22600,0.57
22700,0.56
22800,0.61
22900,0.43
23000,0.47
23100,0.75
23200,0.47
23300,0.29
23400,0.38
23500,0.21
23600,0.46
23700,0.54
23800,0.23
23900,0.53
24000,0.47
24100,0.3
24200,0.57
24300,0.39
24400,0.37
24500,0.48
24600,0.52
24700,0.46
24800,0.66
24900,0.53
25000,0.44
