step,avg_score
100,0.24
200,0.33
300,0.6
400,0.19
500,0.14
600,0.33
700,0.65
800,0.44
900,0.38
1000,0.29
1100,0.5
1200,0.17
1300,0.43
1400,0.28
1500,0.26
1600,0.39
1700,0.4
1800,0.47
1900,0.41
2000,0.54
2100,0.17
2200,0.66
2300,0.68
2400,0.32
2500,0.44
2600,0.74
2700,0.44
2800,0.31
2900,0.43
3000,0.31
3100,0.2
3200,0.7
3300,0.33
3400,0.52
3500,0.35
3600,0.37
3700,0.33
3800,0.22
3900,0.27
4000,0.43
4100,0.5
4200,0.35
4300,0.29
4400,0.46
4500,0.15
4600,0.42
4700,0.44
4800,0.32
4900,0.45
5000,0.72
5100,0.26
5200,0.39
5300,0.31
5400,0.55
5500,0.38
5600,0.28
5700,0.52
5800,0.55
5900,0.6
6000,0.5
6100,0.67
6200,0.5
6300,0.47
6400,0.44
6500,0.47
6600,0.38
6700,0.1
6800,0.56
6900,0.56
7000,0.85
7100,0.64
7200,0.5
7300,0.64
7400,0.64
7500,0.44
7600,0.58
7700,0.54
7800,0.36
7900,0.64
8000,0.62
8100,0.33
8200,0.38
8300,0.12
8400,0.81
8500,0.55
8600,0.49
8700,0.15
8800,0.79
8900,0.66
9000,0.37
9100,0.64
9200,0.5
9300,0.74
9400,0.74
9500,0.58
9600,0.58
9700,0.33
9800,0.7
9900,0.82
10000,0.77
10100,0.89
10200,0.56
10300,0.79
10400,0.69
10500,0.85
10600,0.84
10700,0.77
10800,0.71
10900,0.61
11000,0.77
11100,0.91
11200,0.41
11300,0.73
11400,0.68
11500,0.78
11600,0.74
11700,0.57
11800,0.68
11900,0.64
12000,0.58
12100,0.57
12200,0.41
12300,0.7
12400,0.54
12500,0.83
12600,0.7
12700,0.9
12800,0.75
12900,0.58
13000,0.69
13100,0.51
13200,0.89
13300,0.76
13400,0.67
13500,0.9
13600,0.83
13700,0.89
13800,0.61
13900,0.61
14000,0.82
14100,0.73
14200,0.9
14300,0.91
14400,0.83
14500,0.66
14600,0.65
14700,0.87
14800,0.92
14900,0.71
15000,0.73
15100,0.84
15200,0.76
15300,0.76
15400,0.91
15500,0.72
15600,0.79
15700,0.56
15800,0.76
15900,0.84
16000,0.73
16100,0.91
16200,0.91
16300,0.59
16400,0.92
16500,0.65
16600,0.82
16700,0.89
16800,0.72
16900,0.75
17000,0.79
17100,0.89
17200,0.85
17300,0.91
17400,0.89
17500,0.82
17600,0.68
17700,0.84
17800,0.84
17900,0.86
18000,0.9
18100,0.65
18200,0.91
18300,0.72
18400,0.83
18500,0.89
18600,0.92
18700,0.83
18800,0.89
18900,0.87
19000,0.77
19100,0.86
19200,0.91
19300,0.89
19400,0.89
19500,0.8
19600,0.66
19700,0.63
19800,0.91
19900,0.87
20000,0.85
20100,0.89
20200,0.86
20300,0.83
20400,0.87
20500,0.78
20600,0.72
20700,0.8
20800,0.69
20900,0.88
21000,0.84
21100,0.89
21200,0.91
21300,0.86
21400,0.87
21500,0.91
21600,0.83
21700,0.79
21800,0.69
21900,0.95
22000,0.9
22100,0.71
22200,0.8
22300,0.71
22400,0.73
22500,0.91
22600,0.94
22700,0.85
22800,0.91
22900,0.76
23000,0.87
23100,0.83
23200,0.86
23300,0.87
23400,0.8
23500,0.89
23600,0.85
23700,0.9
23800,0.79
23900,0.91
24000,0.9
24100,0.84
24200,0.88
24300,0.83
24400,0.88
24500,0.88
24600,0.91
24700,0.92
24800,0.89
24900,0.89
25000,0.88
